userName,score,content,length,at,sentiment_label
Jatuh Dari5,3,"Parah mode baru (taktik fusi), masa pengurangan poin kalo kalah gak menentu, kadang kurang 1,2,4,5,6,7, benerin dong pengurangan poin kalo kalah, jangan asal, paling parah pernah kalah 1x, kurang 3,eh kalah lagi langsung kurang 7, gajelas, terus tiba-tiba udah ke 3x, pemilihan kartu ada BUG, gada kartu sama sekali, gak bisa beli kartu satupun, untung menang juara 1, kalo email di bales, udh gw kirim bukti bug nya",416,2025-07-05 15:11:50,negative
Dhika Boys,1,"Awal main cukup enjoy, tapi pas udah masuk liga dikasih lawan yg ga imbang, sering bgt Nemu lawan diatas level kita, begitupun level kartu lawan. bukannya makin enjoy mainnya malah makin frustasi, trus jg koneksi sering (lost) otomatis relog, alhasil pas lagi war jadinya kalah, udah gitu lost koneksinya pas di tengah² war. Sayang bgt game sebagus ini tapi ga Fair. apa harus TopUp dulu biar bisa menang? kalo iya fix, game ini dapet gelar the real game P2W.",459,2025-06-04 00:08:31,negative
CORETAN SI TOPENG,5,"terimakasih untuk update barunya mengenai versi game fusi... sangat terhibur dan banyak fitur permainannya,,, sangat terhibur... lebih tingkatkan lagi mode fusinya lebih luas karakternya dan rankednya,terima kasih....",217,2025-07-02 23:49:48,positive
Hilmi Hidayat,1,"ga jelas dah ini game lama lama, kalo pay to win yaudahlah ya udah biasa gw sebagai pemain free to play lawan begituan. Tapi king tower gw level 11 level troops 10-12 dan musuh level 13 dengan troops level 11-14. kalo bisa di bikin balance, tapi yang lebih anjingnya itu kalo kalah -33 trophy kalo menang 28 trophy. Itu level musuh ga kecil loh dan Evolution 2 di deck mereka. Level king tower beda 2 lebih besar tapi kenapa begini banget ya. tolong di bikin lebih balance lagi",477,2025-07-07 10:05:03,negative
PT All Markhheyswan,4,"Permainan berjalan cukup Lancar dengan device low end. customer support sedikit terlambat dalam melayani, tapi memberikan bantuang dengan cukup mudah untuk dipahami. hal itu sebab saya kehilangan aku Google play yang saya tautkan pada permainan",244,2025-07-05 19:17:21,negative
AGIEL FE,5,tolong untuk pihak developer yang punya game ini.. sayan sudah memainkan game ini dari awal perilisannya.. untuk fitur update baru sudah bagus.. hanya saja mengapa fitur 2 vs 2 bermain sama teman random di hilangkan.. mohon untuk fitur ini di kembalikan.. main solo terus rasa membosankan. m,291,2025-07-03 05:41:31,negative
Rafi Akbar,1,game terburuk yang pernah saya mainkan selama ini! dapet musuh ga seimbang kalau dapat musuh levelnya selalu diatas saya bukannya main game ngehilangin stress malah nambah stress #GAMERUSAK!,190,2025-07-07 12:52:40,negative
Abudzar Ghifar,1,"seru si ni game, soalnya ada evolusi2 yang keren. terus ada update-an baru yang seru juga (merge tactis), emang ini game terlalu kearah strategi2 yang seru sumpah. dari 7 tahun yang lalu gw mainin ttp seru ni game ampe sekarang",227,2025-07-06 15:19:32,positive
Nazril Septa,1,"match macking gak adil bgt , masak iya ketemu lawan beda 3 lvl . gmn mau ngimbangi coba . perlu 10 tahun main agar bisa upgrade deck sampe lvl 14 secara gratis . kalau pengen cpt ya topup 10juta lebih.",201,2025-07-07 21:37:30,negative
Dio Herlangga Akbar,1,"game ancur, sering disconnect & saat login sering stuck di 75% padahal wifi kenceng apalagi waktu war relog mulu. tolong di fix stabilitas koneksi nya ga enak main begini",170,2025-07-04 17:55:20,negative
